Chemical,Sentence
1-phenylethanol,"The chemical compound 1-phenylethanol is a colorless liquid with a strong, fruity odor that is commonly found in nature."
1-phenylethanone,1-phenylethanone is a chemical compound that is composed of two phenyl groups and an ethane group. It has a strong smell and is a colorless liquid with a boiling point of 114°C
dichloromethylbenzene,Dichloromethylbenzene is a chemical compound that has chlorine and methyl groups attached to the benzene ring. It is a colorless liquid with a pungent odor that is used as a
benzoyl chloride,The chemical compound benzoyl chloride is an organic compound that is used in various industrial processes.
cyclohexanecarboxylic acid,The cyclohexanecarboxylic acid (CH3CH2CH(OH)CH2COOH) is a chemical compound with chemical formula H2C6H10O2.
benzenecarbothioic S-acid,The benzenecarbothioic S-acid is a colorless liquid that is soluble in water and in most organic solvents.
"N,N-dimethylcyclohexanamine","N,N-dimethylcyclohexanamine is a colorless liquid with a strong, pungent odor and a sweet, almond-like taste. It is a strong oxidizer, and its reaction with water"
nitrobenzene,"The nitrobenzene compound has a strong, flammable odor."
1-(3-aminophenyl)ethanone,"A compound called 1-(3-aminophenyl)ethanone is a key component in the production of benzene, the most common chemical found in the atmosphere."
3-methylbenzoic acid,The chemical compound 3-methylbenzoic acid is a member of the benzoic acid family. It is a colorless liquid with a fruity odor and a characteristic odor of benzene.
3-aminobenzoic acid,"The 3-aminobenzoic acid found in the root of the marijuana plant inhibits the enzyme benzoyl-coumarin dehydrogenase, which is essential for the conversion of cannabidiol"
3-hydroxybenzoic acid,"The chemical compound 3-hydroxybenzoic acid is a reactive, water-soluble acid that is used in the production of pharmaceuticals."
3-(dimethylamino)phenol,"3-(dimethylamino)phenol is a chemical compound that is used as an intermediate in the production of pharmaceuticals and other chemicals. Its chemical formula is C6H13NO5, and"
1-methyl-3-nitrobenzene,"1-methyl-3-nitrobenzene is a chemical compound that is commonly used in various industrial applications such as manufacturing of plastics, inks, and pesticides."
3-nitroaniline,"The 3-nitroaniline molecule is a key component in biological processes, including DNA synthesis and transcription."
"3,5-dihydroxybenzoic acid","3,5-dihydroxybenzoic acid is a member of the phenolic acid family. It is a colorless crystalline solid which is soluble in water and ethanol. The molecular formula"
2-hydroxy-6-oxo-1H-pyridine-4-carboxylic acid,"The 2-hydroxy-6-oxo-1H-pyridine-4-carboxylic acid is an important chemical compound in biology, chemistry, pharmacology, and medicine. It is"
"1,3-dimethyl-5-nitrobenzene","1,3-dimethyl-5-nitrobenzene is a colorless liquid with a strong, pungent odor and a bitter taste."
"(2R,3S,4S,5R,6R)-2-(hydroxymethyl)-6-[(2R,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxyoxane-3,4,5-triol","The chemical compound (2R,3S,4S,5R,6R)-2-(hydroxymethyl)-6-[(2R,3R,4S,5S,6R)-3,4"
"methyl 3,4,5-trihydroxybenzoate","A methyl 3,4,5-trihydroxybenzoate compound with a high affinity for the dopamine receptor is being developed as a potential therapy for Parkinson's disease."
"2,6-dibromo-4-nitrophenol","The chemical compound 2,6-dibromo-4-nitrophenol is a versatile organic compound commonly used as a catalyst for various reactions. It is a colorless, odorless, and"
"2,6-dichloro-4-nitroaniline","The chemical compound 2,6-dichloro-4-nitroaniline is a strong oxidizing agent that can be used to reduce nitrogen oxides in the atmosphere."
"4-oxopyran-2,6-dicarboxylic acid","The 4-oxopyran-2,6-dicarboxylic acid is a highly reactive and stable compound with many applications in organic chemistry."
"3,5-dinitrobenzoyl chloride","A solution of 3,5-dinitrobenzoyl chloride in acetic acid (1: 1) was prepared."
"3,5-dinitrobenzoic acid","3,5-dinitrobenzoic acid is a yellow crystalline solid with a pungent, metallic odor."
"1,3,5-trinitrobenzene","1,3,5-trinitrobenzene (CN) is a chemical compound with the molecular formula C3H7N. Its chemical structure is shown below:"
methyl 3-methylbenzoate,"Methyl 3-methylbenzoate is a colorless, hydrocarbon-based liquid with a strong, pungent odor resembling rotten eggs. It is a potent organic oxidizing"
"1-(3,4-dihydroxyphenyl)-2-(methylamino)ethanone","1-(3,4-dihydroxyphenyl)-2-(methylamino)ethanone is a common compound used in research and industry. It is also a precursor to other important chemicals, including"
2-chloro-1-(3-nitrophenyl)ethanone,The chemical compound 2-chloro-1-(3-nitrophenyl)ethanone has a pungent odor and a bitter taste.
2-methyl-5-prop-1-en-2-ylcyclohex-2-en-1-ol,"The chemical compound 2-methyl-5-prop-1-en-2-ylcyclohex-2-en-1-ol is a cyclohexanone compound, which is a type of alcohol"
2-methyl-5-prop-1-en-2-ylcyclohex-2-en-1-one,A new chemical compound with the molecular formula C6H14O2 and the name 2-methyl-5-prop-1-en-2-ylcyclohex-2-en-1-one has
"1,2-dimethyl-4-nitrobenzene","1,2-dimethyl-4-nitrobenzene is a colorless liquid with a sharp odor."
2-methyl-4-nitroaniline,"The chemical compound 2-methyl-4-nitroaniline is a yellow crystalline solid with a strong, unpleasant odor that has been used for over a century in various industrial processes."
2-methyl-4-nitrophenol,"2-methyl-4-nitrophenol is a yellow solid with a strong odor. It is used in the manufacture of various chemicals, including pigments and dyes."
"1,2-dichloro-4-nitrobenzene","1,2-dichloro-4-nitrobenzene"
2-methyl-5-nitroaniline,2-methyl-5-nitroaniline is a chemical compound with several unique properties. It has been found to be a promising material for use in energy storage systems.
"N,N-dihydroxy-3,4-diiminocyclohexa-1,5-dien-1-amine","N,N-dihydroxy-3,4-diiminocyclohexa-1,5-dien-1-amine is a potent and selective inhibitor of the GABAA receptor with"
"4-(dihydroxyamino)-6-iminocyclohexa-2,4-dien-1-one","The chemical compound 4-(dihydroxyamino)-6-iminocyclohexa-2,4-dien-1-one is a potent inhibitor of the mitogen-activated protein kinase"
2-methoxy-5-nitroaniline,The chemical compound 2-methoxy-5-nitroaniline is a synthetic dye that is used as a pigment in inkjet printing.
2-chloro-4-nitrobenzoic acid,2-chloro-4-nitrobenzoic acid is a chemical compound that contains two chlorine atoms and four nitrogen atoms.
3-nitrobenzaldehyde,3
"1,3-di(propan-2-yl)benzene","1,3-di(propan-2-yl)benzene is a strong oxidizing agent with a characteristic pungent odor."
"benzene-1,3-dicarbonyl chloride","A benzene-1,3-dicarbonyl chloride molecule reacts with oxygen to form a highly reactive and flammable benzoic acid."
"1,3-dinitrobenzene","1,3-dinitrobenzene is a colourless liquid that has a strong smell and is used as a refrigerant."
4-butan-2-ylphenol,The chemical compound 4-butan-2-ylphenol has a carboxylic acid group (-COOH) that is derived from the carboxyl group (-COO-) of its parent carboxylic acid (4
2-bromo-1-(4-bromophenyl)ethanone,"The chemical compound 2-bromo-1-(4-bromophenyl)ethanone is a colorless and fluorescent liquid with a sweet, slightly bitter taste. It is a strong anesthetic."
methyl 4-methylbenzoate,The methyl 4-methylbenzoate is a colorless and odorless liquid that is soluble in water.
methyl 4-hydroxybenzoate,"In the presence of UV light, methyl 4-hydroxybenzoate undergoes chemical reactions that result in the formation of methyl benzoate and water."
ethyl 4-nitrobenzoate,Ethyl 4-nitrobenzoate is a colorless liquid with a floral odor and a pungent taste. It is a structural analog of benzoic acid and is used as a food preservative and in
ethyl 10-(4-iodophenyl)undecanoate,Chemical compound: Ethyl 10-(4-iodophenyl)undecanoate
1-methyl-4-propan-2-ylcyclohexane,The 1-methyl-4-propan-2-ylcyclohexane is a colorless liquid with a strong camphor odor.
"2-methyl-5-propan-2-ylcyclohexa-1,3-diene","The two-methyl cyclohexa-1,3-diene unit of the ester is a highly reactive functional group."
"1-methyl-4-propan-2-ylcyclohexa-1,4-diene","The chemical compound 1-methyl-4-propan-2-ylcyclohexa-1,4-diene (C8H16OC6H10N2) is a diene, a"
"1-methyl-4-propan-2-ylcyclohexa-1,3-diene","A study published in the journal Nature Chemistry has identified the chemical compound 1-methyl-4-propan-2-ylcyclohexa-1,3-diene, or DHA, as a potential ant"
1-methyl-4-propan-2-ylbenzene,"The chemical compound, 1-methyl-4-propan-2-ylbenzene, is a colorless, flammable, hydrocarbon-based liquid with a molecular formula of C6H12"
4-propan-2-ylaniline,4-propan-2-ylaniline is a heterocyclic compound derived from benzene and has four carbon atoms in the ring.
4-propan-2-ylphenol,"4-propan-2-ylphenol (4-POP) is a colorless, oily liquid that is soluble in water, alcohol, and esters."
1-(4-bromophenyl)ethanone,"The chemical compound 1-(4-bromophenyl)ethanone is a colorless, sweet-smelling, flammable compound with a melting point of 56-58° C (13"
1-(4-chlorophenyl)ethanone,"The chemical compound 1-(4-chlorophenyl)ethanone is a colorless liquid with a strong, unpleasant odor."
1-(4-aminophenyl)ethanone,"1-(4-aminophenyl)ethanone is a colorless liquid with a pleasant, slightly sweet odor. It is a member of the phenyl ethanols, a group of organic compounds that also includes alco"
1-(4-hydroxyphenyl)ethanone,"The chemical compound (1-(4-hydroxyphenyl)ethanone) is a versatile, colorless liquid with a strong, pungent odor. It has a wide range of applications in the pharmaceut"
4-methylbenzoic acid,"The 4-methylbenzoic acid molecule contains two benzoic acid groups on each carbon atom (one at each end of the molecule), and two methyl groups. The chemical compound has a mole"
"N,N,4-trimethylaniline","The compound N,N,4-trimethylaniline is an intermediate in the synthesis of various chemical compounds, including pharmaceuticals and pesticides."
"4-N,4-N-dimethylbenzene-1,4-diamine",A compound that contains the chemical formula C6H11NO2 and is used in the production of polyurethane foams.
1-methyl-4-nitrobenzene,"The chemical compound, 1-methyl-4-nitrobenzene, is a bright, light yellow liquid with a strong and pungent odor that is often used as a solvent in various industries."
1-chloro-4-nitrobenzene,The 1-chloro-4-nitrobenzene is a colorless liquid with a characteristic
4-nitroaniline,The compound is used in the
1-(4-methoxyphenyl)ethanone,1-(4-methoxyphenyl)ethanone is a highly reactive and highly reactive organic compound with several chemical and biological applications. It is used as a precursor in the pharmaceutical
4-methoxybenzoyl chloride,"A new compound, 4-methoxybenzoyl chloride, has been discovered which has the ability to bind to the androgen receptor with high affinity, opening the way for the development of new therap"
4-methoxybenzoic acid,Four-methoxybenzoic acid is an organic comp
4-(dimethylamino)benzaldehyde,"The chemical compound 4-(dimethylamino)benzaldehyde (C10H15NO2) is a colorless, fragrant, and flammable liquid."
1-ethyl-4-nitrobenzene,"In the study, the researchers found that 1-ethyl-4-nitrobenzene (ENB) had a significant inhibitory effect on the growth of human cancer cells."
1-ethenyl-4-nitrobenzene,Scientific: The chemical compound 1-ethenyl-4-nitrobenzene is a colorless liquid. It has a melting point of 80.2 degrees Celsius and a boiling point of
1-(chloromethyl)-4-nitrobenzene,The chemical compound 1-(chloromethyl)-4-nitrobenzene is an aliphatic aromatic hydrocarbon.
N-methyl-4-nitroaniline,"A synthetic drug commonly known as ""A-bomb"" or ""meth-pure"" when mixed with methamphetamine, N-methyl-4-nitroaniline is an aryl hyd"
"4-diazenyl-N,N-dihydroxyaniline","In 1863, the French chemist Charles Guillaume Guillaume discovered the first organic compound: p-benzoquinone."
1-methoxy-4-nitrobenzene,A high-pressure liquid chromatography (HPLC) separation of the synthetic cannabinoid 1-methoxy-4-nitrobenzene with a high accuracy was achieved using a 25 cm ×
"1,4-di(propan-2-yl)benzene","1,4-di(propan-2-yl)benzene is a colorless liquid with a pleasant odor."
1-(4-nitrophenyl)ethanone,"The chemical compound 1-(4-nitrophenyl)ethanone is a key component of the fungal toxin, causing the disease known as Fusarium head blight."
"benzene-1,4-dicarbonyl chloride","The benzene-1,4-dicarbonyl chloride molecule is a strong oxidizing agent that reacts with water to produce benzenesulfonic acid and water."
terephthalic acid,The chemical compound terephthalic acid is formed when ethylene and di
"1-N,1-N,4-N,4-N-tetramethylbenzene-1,4-diamine","Chemical compound: 1-N,1-N,4-N,4-N-tetramethylbenzene-1,4-diamine."
"N,N-dimethyl-4-nitroaniline","N,N-dimethyl-4-nitroaniline is a volatile organic compound with a hydrocarbon structure. It is a colorless liquid with a pungent odor that is often used as a p"
"1,4-dinitrobenzene","The chemical compound 1,4-dinitrobenzene is a colorless, odorless, and flammable liquid with a high boiling point. It is a common intermediate in the production of various chemicals."
"pyridine-2,5-dicarboxylic acid","Pyridine-2,5-dicarboxy"
2-(4-nitrophenyl)ethanol,2-(4-nitrophenyl)ethanol is a chemical compound that is used in manufacturing and laboratory chemicals.
1-ethoxy-4-nitrobenzene,A flame-retardant compound containing a nitro group.
1-nitro-4-[(4-nitrophenyl)disulfanyl]benzene,"A compound that contains a nitrogen atom, a sulfur atom, and a disulfide bond."
2-(diethylamino)ethanol,"2-(diethylamino)ethanol is a colorless liquid with a strong, pungent odor. It is a strong oxidizer and is used as a fuel for fuel cells."
bromomethylbenzene,"A recent study found that bromomethylbenzene, a chemical compound previously unknown in nature, can act as an antibiotic. The compound, which was found in the soil of the Amazon rainforest, exhib"
4-ethenylcyclohexene,"Four-ethenylcyclohexene is a colorless, flammable liquid with a pungent odor."
ethylbenzene,"Ethylbenzene is a colorless, flammable liquid with a strong, pungent odor."
styrene,"The styrene bond is made up of two carbon atoms, one hydrogen atom, and one oxygen atom."
4-ethenylpyridine,"4-ethenylpyridine is a colorless, flammable, and toxic compound with a strong odor. It is used as a food additive and a precursor to several useful compounds."
chloromethylbenzene,A chloromethylbenzene molecule is formed by the addition of a chlorine atom to a benzene molecule.
phenylmethanamine,"The compound phenylmethanamine is a colorless, oily liquid with a strong, pungent odor."
benzonitrile,"The chemical compound benzonitrile is a colorless, odorless liquid that is used as a flame retardant and as a solvent. It is also used as a precursor for synthesizing amino acids,"
